ID,Team,Matches,Wins,Draws,Loses,Points,GoalDiff,Points2
1,Tottenham Hotspur,10,6,3,1,21,12,21
2,Liverpool FC,10,6,3,1,21,5,22
3,Chelsea FC,10,5,4,1,19,12,22
4,Leicester City,10,6,0,4,18,5,19
5,West Ham United,10,5,2,3,17,6,17
6,Southampton FC,10,5,2,3,17,3,19
7,Wolverhampton Wanderers,10,5,2,3,17,0,11
8,Everton FC,10,5,1,4,16,2,19
9,Manchester United,9,5,1,3,16,0,16
10,Aston Villa,9,5,0,4,15,7,20
11,Manchester City,9,4,3,2,15,4,15
12,Leeds United,10,4,2,4,14,-2,15
13,Newcastle United,10,4,2,4,14,-3,12
14,Arsenal FC,10,4,1,5,13,-2,10
15,Crystal Palace,10,4,1,5,13,-3,12
16,Brighton & Hove Albion,10,2,4,4,10,-2,14
17,Fulham FC,10,2,1,7,7,-8,11
18,West Bromwich Albion,10,1,3,6,6,-11,7
19,Burnley FC,9,1,2,6,5,-13,4
20,Sheffield United,10,0,1,9,1,-12,4
