ID,Team,Matches,Wins,Draws,Loses,Points
1,Tottenham Hotspur,10,6,3,1,21
2,Liverpool FC,10,6,3,1,21
3,Chelsea FC,10,5,4,1,19
4,Leicester City,10,6,0,4,18
5,West Ham United,10,5,2,3,17
6,Southampton FC,10,5,2,3,17
7,Wolverhampton Wanderers,10,5,2,3,17
8,Everton FC,10,5,1,4,16
9,Manchester United,9,5,1,3,16
10,Aston Villa,9,5,0,4,15
11,Manchester City,9,4,3,2,15
12,Leeds United,10,4,2,4,14
13,Newcastle United,10,4,2,4,14
14,Arsenal FC,10,4,1,5,13
15,Crystal Palace,10,4,1,5,13
16,Brighton & Hove Albion,10,2,4,4,10
17,Fulham FC,10,2,1,7,7
18,West Bromwich Albion,10,1,3,6,6
19,Burnley FC,9,1,2,6,5
20,Sheffield United,10,0,1,9,1
